bunch_number,peak_lumi,intensity_beam_1,intensity_beam_2,pileup
324,-1.0146968E-7,0.0,0.0,-6.92E-5
325,-5.5880186E-8,0.0,0.0,-3.81E-5
326,-5.49598E-8,0.0,0.0,-3.75E-5
327,5.227787E-6,0.155,0.154,0.00357
328,-1.1441471E-7,0.0,0.0,-7.8E-5
329,4.543013E-6,0.164,0.168,0.0031
330,-1.3695832E-7,0.0,0.0,-9.34E-5
331,4.4210115E-6,0.149,0.147,0.00302
332,-1.1187067E-7,0.0,0.0,-7.63E-5
333,4.5893357E-6,0.17,0.162,0.00313
334,-1.2632867E-7,0.0,0.0,-8.62E-5
335,5.0595954E-6,0.152,0.152,0.00345
336,-8.653361E-8,0.0,0.0,-5.9E-5
337,4.8238753E-6,0.173,0.163,0.00329
338,-1.4948331E-7,0.0,0.0,-1.02E-4
339,4.0263885E-6,0.146,0.144,0.00275
340,-1.6402663E-7,0.0,0.0,-1.12E-4
341,6.0198718E-6,0.167,0.157,0.00411
342,-1.2051964E-7,0.0,0.0,-8.22E-5
343,-9.767475E-8,0.0,0.0,-6.66E-5
344,-5.0084996E-8,0.0,0.0,-3.42E-5
345,5.7484312E-6,0.148,0.157,0.00392
346,-1.3049291E-7,0.0,0.0,-8.9E-5
347,7.642881E-6,0.181,0.166,0.00521
348,-9.876961E-8,0.0,0.0,-6.74E-5
349,4.649061E-6,0.149,0.153,0.00317
350,-1.5004362E-7,0.0,0.0,-1.02E-4
351,5.1964053E-6,0.154,0.159,0.00354
352,-1.200362E-7,0.0,0.0,-8.19E-5
353,5.620722E-6,0.153,0.157,0.00383
354,-1.204597E-7,0.0,0.0,-8.22E-5
355,4.320571E-6,0.15,0.162,0.00295
356,-1.3474323E-7,0.0,0.0,-9.19E-5
357,3.4788147E-6,0.146,0.153,0.00237
358,-1.9561698E-7,0.0,0.0,-1.33E-4
359,5.390475E-6,0.17,0.154,0.00368
360,-1.2962286E-7,0.0,0.0,-8.84E-5
361,-7.524682E-8,0.0,0.0,-5.13E-5
362,-5.4425623E-8,0.0,0.0,-3.71E-5
363,5.6497393E-6,0.157,0.165,0.00385
364,-1.185655E-7,0.0,0.0,-8.09E-5
365,6.3582165E-6,0.172,0.172,0.00434
366,-1.2998872E-7,0.0,0.0,-8.87E-5
367,5.706558E-6,0.153,0.158,0.00389
368,-1.1245019E-7,0.0,0.0,-7.67E-5
369,4.9373166E-6,0.168,0.166,0.00337
370,-1.3542343E-7,0.0,0.0,-9.24E-5
371,4.021283E-6,0.157,0.159,0.00274
372,-1.5680493E-7,0.0,0.0,-1.07E-4
373,8.584542E-6,0.174,0.169,0.00586
374,-6.5701656E-8,0.0,0.0,-4.48E-5
375,3.3731574E-6,0.151,0.154,0.0023
